X,Y
"Для целей получения еще более высокого предела прочности при растяжении были разработаны трип-стали (пластичность, наведенная превращением) со значительно улучшенной комбинацией свойств (предел прочности при растяжении/форуемость).","получение более высокого предела прочности;трип-сталь со значительно улучшенной комбинацией свойств"
"Задача настоящего изобретения состоит в том, чтобы предоставить очищающий от дисперсных частиц материал, который обладает превосходным свойством очистки от ДЧ и способен начинать очистку от ДЧ при низкой температуре и предотвращать неуправляемый нагрев в фильтре-катализаторе, фильтр-катализатор для очистки от дисперсных частиц с использованием такого очищающего от дисперсных частиц материала, а также способ регенерирования фильтра-катализатора для очистки от дисперсных частиц.","предоставить очищающий от дисперсных частиц материал;"
"Задачей настоящего изобретения является предоставление способа получения оксида ванадия, которым можно не только получить ванадиевый продукт высокого качества, но также циркулировать и снова применять сточную воду извлечения ванадия.","предоставление способа получения оксида ванадия;"
"Варианты осуществления настоящего изобретения относятся к способам (процессам) и системам для переработки содержащих триглицериды масел биологического происхождения с осуществлением олигомеризации и деоксигенации компонентов на основе ненасыщенных жирных кислот (карбоновых кислот), содержащихся в них, путям получения базовых масел и топлив для транспортных средств (например, дизельных топлив).","переработка содержащих триглицериды масел биологического происхождения;осуществление олигомеризации и деоксигенации компонентов на основе ненасыщенных жирных кислот"
"Принимая во внимание такую ситуацию предшествующего уровня техники, цель настоящего изобретения состоит в предложении межслойной пленки для многослойного стекла, которая содержит поливинилацетальную смолу и может легко связываться с листами стекла, давая многослойное стекло, имеющее высокую прозрачность, и многослойного стекла, использующего такую межслойную пленку.","предложение межслойной пленки для многослойного стекла;содержание поливинилацетальной смолы"
"Одна из положенных в основу настоящего изобретения задач состояла в том, чтобы предложить новые, обладающие аналегтическим действием вещества, которые были бы пригодны для обезболивающего лечения, прежде всего для устранения хронических и невропатических болей.","устранение хронических и невропатических болей;"
"Остается потребность в создании адгезивов с улучшенной сохраняющейся адгезией одновременно к обоим материалам - к алюминию и полиэтилену.","создание адгезивов с улучшенной сохраняющейся адгезией.;"
"Задача предложенного изобретения состоит в том, чтобы предоставить в распоряжение, как описано вначале, способ с использованием стали, пригодной для поверхности оболочки на стороне, соприкасающейся с реакционным пространством, которая уже не в алонизированной форме, а также в отсутствии сульфидов в исходном газовом потоке, менее выраженно катализирует термическое разложение дегидрируемого и/или дегидрированного углеводорода, чем высокосортная сталь с номером рабочего материала 1.4841 по DIN.","сталь, пригодная для поверхности оболочки на стороне, соприкасающейся с реакционным пространством;"
"Цель настоящего изобретения состоит в предложении способа получения поливинилхлорида, обладающего увеличенным насыпным удельным весом, превосходной способностью к переработке и начальным цветом, и улучшенной производительностью.","получение поливинилхлорида, обладающего увеличенным насыпным удельным весом, превосходной способностью к переработке и начальным цветом, и улучшенной производительностью;"
"Настоящее изобретение относится к операциям цементирования и, более конкретно, к способным к схватыванию композициям, включающим воду и CKD, и к соответствующим способам использования.","операция цементирования, способная к схватыванию композициям;"
"Для того чтобы устранить различные проблемы, связанные с уменьшением активности молекулярных сит вследствие попадания в контакт с высокотемпературным водяным паром, данное изобретение предлагает способ восстановления молекулярных сит, который включает получение дезактивированных молекулярных сит и обеспечение нахождения молекулярных сит в контакте с теплой водой, водяным паром или солями аммония до тех пор, пока каталитическая активность не увеличится на желательную величину.","уменьшение активности молекулярных сит;получение дезактивированных молекулярных сит и обеспечение нахождения молекулярных сит"
"Целью изобретения является предложение стали, которая могла бы быть использована, в частности, для изготовления механических деталей, таких как трансмиссионные валы или структурные элементы, обладала бы еще более высокой механической прочностью при нагреве, но при этом одновременно и подходящими для указанных применений характеристиками усталости и хрупкости.","сталь для изготовления механических деталей;"
"Данное изобретение относится к способу изготовления усовершенствованной цементной композиции.","изготовление усовершенствованной цементной композиции;"
"Изобретение относится к способу получения несмешанной композиции синтетического углеводородного топлива, включающему приведение в контакт одного или нескольких олефинов с катализатором олигомеризации в реакционной зоне в условиях, обеспечивающих олигомеризацию олефинов, и удаление из реакционной зоны потока продукта, содержащего продукты олигомеризации олефинов, в котором из потока продукта извлекают фракцию, которая имеет следующие свойства:","несмешанная композиция синтетического углеводородного топлива;"
"Ввиду вышеизложенного, задачей настоящего изобретения является способ получения ароматических углеводородов и водорода, в котором поддерживается постоянная каталитическая активность, что позволяет эффективно получать ароматические углеводороды и водород.","получение ароматических углеводородов и водорода;"
"Настоящее изобретение обеспечивает декодирующие устройство и способ обеспечения слайд-шоу с возможностью пролистывания и записывающий носитель для этих декодирующего устройства и способа.","обеспечение слайд-шоу с возможностью пролистывания;"
"С учетом проблем, возникающих в уровне техники для способов извлечения свинца из пасты аккумуляторов, первой целью настоящего изобретения является обеспечение способа получения металлического свинца из десульфированной пасты с высоким выходом, низким потреблением энергии и химических реагентов, и пониженным влиянием на окружающую среду.","получение металлического свинца из десульфированной пасты;"
"Второй целью настоящего изобретения является обеспечение способа получения металлического свинца из десульфированной пасты, который сопровождается получением пониженного количества остатков или получением высококачественных продуктов, которые можно повторно использовать в других производственных циклах.","получение металлического свинца из десульфированной пасты;"
"Еще одной целью настоящего изобретения является обеспечение способа десульфирования, более простого и эффективного по сравнению со способами, известными в уровне техники.","обеспечение десульфирования;"
"Таким образом, настоящее изобретение относится к способу получения средних дистиллятов.","получение средних дистиллятов;"
"Изобретение описывает последовательность процессов, позволяющую обрабатывать углеводороды, такие как описанные в начале текста, полностью автономным образом.","обработка углеводородов полностью автономным образом;"
"Целью настоящего изобретения является создание бурового долота вышеуказанного типа, имеющего длительный срок службы.","создание бурового долото;"
"Другой целью настоящего изобретения является создание бурового долота для бурения прямых скважин.","создание бурового долото;"
"Еще одной целью настоящего изобретения является создание бурового долота, обеспечивающего удаление породы.","создание бурового долото;"
"Согласно изобретению создан способ проведения операций в подземной буровой скважине, включающий следующие операции:","проведение операций в подземной буровой скважине;"
"Поэтому целью данного изобретения является создание способа изготовления материала, который можно распределять по поверхности, так что исключаются недостатки способов согласно уровню техники.","изготовление материала, который можно распределять по поверхности;"
"Таким образом, целью настоящего изобретения является создание способа и устройства для ввода и мониторинга ускорителя, которые обеспечивают возможность точного мониторинга количества ускорителя, фактически введенного в гидросмесь.","создание способа и устройства для ввода и мониторинга ускорителя;"
"Другой целью является создание способа и устройства для мониторинга ускорителя, способных выдерживать коррозионное воздействие цементирующих композиций на измерительное оборудование и эффект забивания инжектора ускорителя, в которых применяются способы очистки, применяющие известные способы очистки линий, и которые обеспечивают беспрепятственность операций распыления.","создание способа и устройства для мониторинга ускорителя;"
"Еще одной целью настоящего изобретения является создание устройства, способного выдерживать опасности промышленной рабочей среды.","создание устройства, способного выдерживать опасности промышленной рабочей среды;"
"Наконец, важной целью настоящего изобретения является создание способа и устройства для постоянного получения высокого выхода при операции нанесения распылением твердеющей композиции с использованием агента, ускоряющего твердение, который впрыскивается в транспортируемую по шлангу разбрызгиваемую композицию.","создание способа и устройства для постоянного получения высокого выхода;"
"Задачей заявленного изобретения является создание способа и установки для получения легированного металлического расплава, в которых устраняются недостатки существующего уровня техники, и для которых, с одной стороны, снижаются затраты на производство при высоком качестве стали, а с другой стороны, время обработки плавки согласовано с тактом литейной машины.","создание способа и установки для получения легированного металлического расплава;"
"Другой целью изобретения является вторичное использование отходов, например, хром- или хром- и никельсодержащих пылей и шлаков, которые экологически выгодно могут быть введены в процесс производства и восстановлены для извлечения дорогих хрома или хрома и никеля.","вторичное использование отходов;"
"Основной задачей настоящего изобретения является создание устройства и способа для измерения и управления подачей загрузочного материала и металлолома в электрическую дуговую печь, которые позволяли бы более точно регулировать указанную подачу простым, экономичным и эффективным образом.","создание устройства и способа для измерения и управления подачей загрузочного материала и металлолома в электрическую дуговую печь;"
"Таким образом, задача настоящего изобретения, направленная на решение вышеуказанных проблем, заключается в обеспечении горячекатаного листа из Nb-содержащей ферритной нержавеющей стали, имеющего превосходную ударную вязкость и способность поддаваться обработке, и способа его изготовления.","обеспечение горячекатаного листа из Nb-содержащей ферритной нержавеющей стали;"
"Также задача настоящего изобретения заключается в обеспечении холоднокатаного листа из Nb-содержащей ферритной нержавеющей стали, имеющего превосходную способность поддаваться обработке, и способа его изготовления.","обеспечение холоднокатаного листа из Nb-содержащей ферритной нержавеющей стали;"
"Ввиду вышеописанных проблем целью настоящего изобретения является разработка высокопрочной нержавеющей стали, имеющей следующие свойства:","разработка высокопрочной нержавеющей стали;"
"Одной из задач данного изобретения является обеспечение применения новой полимерной композиции с преимущественными электрическими свойствами, в том числе с низкой электропроводностью, для получения слоя силового кабеля, предпочтительно слоя кабеля постоянного тока (DC).","обеспечение применения новой полимерной композиции;"
"Другой задачей данного изобретения является создание силового кабеля, предпочтительно силового кабеля постоянного тока (DC), у которого по меньшей мере один слой включает указанную полимерную композицию с преимущественными электрическими свойствами, в частности, с низкой электропроводностью.","создание силового кабеля;"
"Таким образом, задачей настоящего изобретения является создание способа очистки исходного материала биологического происхождения с целью производства биотоплив и их компонентов.","создание способа очистки исходного материала биологического происхождения;"
"Дополнительной задачей настоящего изобретения является создание способа превращения биологического исходного материала в углеводороды, пригодные для использования в качестве топлива и/или добавок к топливу.","создание способа превращения биологического исходного материала в углеводороды;"
"Еще одной задачей настоящего изобретения является создание способа, подходящего для превращения компонентов талового масла в углеводороды, пригодные для использования в топливах или в качестве топлива.","создание способа, подходящего для превращения компонентов талового масла в углеводороды;"
"Еще одной задачей настоящего изобретения является использование продукта, полученного данным способом, в качестве топлива или добавки к топливу","использование продукта в качестве топлива или добавки к топливу;"
"Еще одной задачей настоящего изобретения является создание способа, в котором устранены недостатки способов, известных в уровне техники.","создание способа, в котором устранены недостатки способов, известных в уровне техники;"
"Изобретение относится к узлу сиденья и направлено на повышение надежности работы механизма.","повышение надежности работы узла сиденья;"
"Соответственно, целью настоящего изобретения является создание противопожарного изоляционного продукта, который уменьшает или устраняет вышеупомянутые недостатки.","создание противопожарного изоляционного продукта;"
"Настоящее изобретение создано с учетом вышеуказанных проблем, присущих известному уровню техники, и его задачей является создание способа дешевого изготовления полуфабриката листа из нетекстурированной электротехнической стали с высокой плотностью магнитного потока и низкими потерями в железе после отжига для снятия напряжений.","создание способа дешевого изготовления полуфабриката листа;"
"Задачей настоящего изобретения является предоставление способа регулирования сверхнизкого содержания титана в сверхнизкоуглеродистой AlSi раскисленной стали, в котором при обстоятельстве, что содержание Si (кремния) и Al (алюминия) являются относительно высокими, а содержание S (серы) является соответственно низким, требования к качеству сырья и вспомогательных материалов для процесса выплавки могут быть расширены, и процесс производства стали может быть упрощен посредством умеренной модификации верхнего шлака ковша и глубокой десульфурации RH-очисткой и т.п., который имеет ряд преимуществ, например, операционное управление является простым, стоимость производства является низкой, объем применения является широким и контроль точности является высоким.","предоставление способа регулирования сверхнизкого содержания титана в сверхнизкоуглеродистой AlSi раскисленной стали;"
